Address,Balance
0xee2826453A4Fd5AfeB7ceffeEF3fFA2320081268,7.855243889031205e+21
0x549C0421c69Be943A2A60e76B19b4A801682cBD3,7.388931929506981e+21
0x82E8936b187d83FD6eb2B7Dab5B19556e9DEFF1C,7.379247705695911e+21
0x13e252Df0caFe34116cEc052177b7540aFc75F76,6.820063272024645e+21
0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,3.942001589881651e+21
0x2EDf26c1D56158B06F692B9f6D6547018417c181,3762269432964015623979
0x167539702B5501aADd9B0B85E53532Fd57cC71a9,3.7251878101549496e+21
0x649e74B1CEbAfe73250b5bd1416DC3C9040680ac,3.4866850939455904e+21
0x16a4eC779ec71F9019fF79CbdD082a078C9eA06A,3.2245732363503434e+21
0xD9B99266C42d427Bb3A64f30a0242bbEb41F6830,3.144968782886113e+21
0xf6657BBCfEB5C2746E8C609e35018A5a8caa13fb,2.688136512234801e+21
0x3A516707C6a34a44A02C608a11f73351269dc6c4,2.224232762939003e+21
0xb92eCcb3AaD420237E2db6768554569a58c566e2,2.0218223584713056e+21
0x85257f61Bcf59f7498007D8e08D6eFb7AC1EEf4c,1.8142566097092666e+21
0x702D6DeF95d59E31ebA8420372821c2E49F2D607,1.694640755472872e+21
0xb0dE3c7Ec18a6e61E336412054Cf730257A7F933,1.628146014832183e+21
0x2dc23418844EACD31a7D91A5571E000960553283,1.609026158254436e+21
0xc5C5B53438A7Fc9CddEA4f0DED2D12FBF75b6c76,1.591564786363697e+21
0xB83c15a93B65a57c59A568068dFEe5da911146B8,1.5032221886258057e+21
0xa5cA469103c502c5137AfD926a644253fE5FB73e,1.4783138533819438e+21
0x68c792F503347eCffdD292fd1C1a7b0751E9eE79,1400000000000000000000
0x8E04968FB8159783F93CdfB3bB97AA9b90e2c72C,1.2232930950881702e+21
0x274d9E726844AB52E351e8F1272e7fc3f58B7E5F,1203041239136594893440
0x6fF3d5a0BA36b503399E0BD4AeD8DaaBab091F93,1.1540524208221554e+21
0x0E91CF9DD6A1C10e9f87EfF4165F280254069Af1,1.0169011559622089e+21
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,1.0043838392407471e+21
0xFFd68Bb1B7882019b394a4EFdD007a6E1b5Ece5e,951705383011796789339
0x0907742ce0A894b6a5D70E9df2C8D2FADCAF4039,9.505715278990239e+20
0x7DE2bF548eaAd49588eB334696d7C2d4443C0575,9.498392375308398e+20
0x597dA53a39ea634bE355E6028136B5E5F28C25d9,8.889328e+20
0xCF0AFA96743819D52515BfF99635A7978f2a856f,7.90483952716699e+20
0xFadAFCE89EA2221fa33005640Acf2C923312F2b9,7.660320126738568e+20
0x5583Bbda575F142993c10A335daf29dC7510E8F2,7.518951580766811e+20
0xB1604602542456fE0CA6122157EF54EE53e85882,7.4086249372596e+20
0xaCF3B05cC656a62602878c8B0Ae6903c0C13083D,6.697390502533992e+20
0x27eAB7D3Ce4c84B9AfB0324dEb7c56BD72FC2FA0,6.606880386343137e+20
0x26fCbD3AFEbbE28D0A8684F790C48368D21665b5,6.167822431540062e+20
0x00290ffc9e9D19bdA7b25c6e44d8ADF55DFBf2dD,603954079811479252285
0x533e3c0e6b48010873B947bddC4721b1bDFF9648,603078786218793728261
0x1a6db538813Dbfa63E1F19f8804447187B7D401d,5.687536032117295e+20
0xe1A59cDd826c4460a30a77cc0526CD19351f670b,5.6423555709742265e+20
0x8B0C8c18993a31F57e60d81761F532Ef14633153,5.568449991767579e+20
0xe6a6eE4196D361ec4F6D587C7EbE20C50667fB39,5.482729816231334e+20
0x7b12A955fd0D2D2A023E252b1fd74d831786e551,523318100285399753150
0x3Ee505bA316879d246a8fD2b3d7eE63b51B44FAB,4.84268381618046e+20
0xe0Ba6c4c82376c76386D1Ca2ae2516Ab18882e3C,4.807901676331466e+20
0xE26eB64db2fd138b5067CcFaf1E94107F85F58A3,4.573201422001565e+20
0x3114FE8BAD632D77868928c8595176d80B5B9594,4.533400880764163e+20
0xcC2b9fDe1e59342C1Ae10ebc02bb44E1dbE2B02D,4.473124142801993e+20
0xfB27C8582976F1A29d58e89Bcc89dA1e54D78076,417203826758448536052
0xA26EC0c4468D4C7F4771E38c04bAe274741C9C5d,4.1663219328740655e+20
0x11d0Cb5C690bC838eFc52C621F6B48040dd000F7,4.159979241184571e+20
0x1C1a6497068a8A0b1DBA39420A846A6c12D350e8,4.157346770303769e+20
0x6A928643E35E254fcc6927c689694897712d3827,4.09804998683133e+20
0x4c126F9754e4c9f21cb63D8A0C3A312fe082308C,4.058859390180988e+20
0x627FaAa13Ca3D25BF959325D44543e04C99cceC8,377003492328465953992
0x12478d1a60a910C9CbFFb90648766a2bDD5918f5,3.6855995907227936e+20
0xABf727d85B90503dCc175F97a4674F649f369540,3.64253240186443e+20
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,3.601271954557357e+20
0x10eE4A1aFD15073A97975236dCEd5D95E68477EA,3.598847893250846e+20
